asset_name,asset_type,terrain_risk,priority_level,covered_by_original_ARIA,barrier_lake_impact,landslide_impact,debris_flow_impact
國軍805醫院,shelter,High,,1,0,1,0
七星潭社區活動中心,shelter,Critical,,1,0,1,0
基督教芥菜種會,shelter,High,,1,0,1,0
北埔社區活動中心,shelter,High,,1,0,1,0
大漢社區活動中心,shelter,Low,,1,0,1,0
復興南營區,shelter,Low,,1,0,1,0
新城鄉立圖書館,shelter,Medium,,1,0,1,0
新城鄉原住民文化館,shelter,Medium,,1,0,1,0
樹林腳社區活動中心,shelter,High,,1,0,1,0
康樂社區活動中心,shelter,Medium,,1,0,1,0
佳民國小收容所,shelter,Medium,,1,0,1,0
景美活動中心,shelter,High,,1,0,1,0
北三棧社區活動中心,shelter,Medium,,1,0,1,0
順安農宅示範中心,shelter,Low,,1,0,1,0
秀林國小收容所,shelter,High,,1,0,1,0
禪光育幼院,shelter,Low,,1,0,1,0
天主教聲遠之家,shelter,Low,,1,0,1,0
新城社區活動中心,shelter,Low,,1,0,1,0
興田社區活動中心,shelter,Low,,1,0,1,0
富世活動中心,shelter,Critical,,1,0,1,0
崇德國小收容所,shelter,High,,1,0,1,0
和平活動中心,shelter,High,,1,0,1,0
