StationId,StationName,CountyName,TownName,StationLatitude,StationLongitude,StationAltitude,DateTime,Past1hr,Past10Min,Past3hr,Past6hr,Past12hr,Past24hr,NOW,Past2days,Past3days
C2H9R0,卓社,南投縣,仁愛鄉,23.887894,121.000086,1301,2025/7/29 00:00,0,0,0,0,22.5,42,42,52,103.5
C2H9Q0,北東眼山,南投縣,仁愛鄉,24.120939,121.189303,2032,2025/7/29 00:00,0,0,0.5,34.5,60.5,86.5,86.5,102,128.5
C2H9P0,伊拿谷,南投縣,仁愛鄉,23.963211,121.088264,913,2025/7/29 00:00,0,0,0,2.5,17,43,43,44.5,83.5
C2H9N0,仁愛東眼,南投縣,仁愛鄉,24.026875,121.1205,1439,2025/7/29 00:00,0.5,0,0.5,4.5,9.5,50.5,50.5,54,89
C2H9M0,發祥,南投縣,仁愛鄉,24.154094,121.164517,1255,2025/7/29 00:00,0,0,0.5,34,53.5,81,81,91,102.5
C2H9L0,馬烈霸,南投縣,仁愛鄉,24.1512,121.201772,1999,2025/7/29 00:00,0,0,1.5,40.5,50.5,76.5,76.5,87.5,110
C2H9J0,中台,南投縣,埔里鎮,23.9996,120.938739,545,2025/7/29 00:00,0,0,0,0,0,54.5,54.5,71,132
C2E970,八甲,苗栗縣,苗栗市,24.535811,120.795983,175,2025/7/29 00:00,0,0,0.5,13,13.5,24,24,123,124
C2G9A0,畜試所彰化,彰化縣,北斗鎮,23.86045,120.557964,51,2025/7/29 00:00,0,0,0,0,7,47,47,61,99.5
C2H9H0,苗改南投蜂場,南投縣,名間鄉,23.852589,120.693481,158,2025/7/29 00:00,0,0,0,0,0,30.5,30.5,41.5,108.5
C2K630,荷苞,雲林縣,古坑鄉,23.657717,120.595144,173,2025/7/29 00:00,0,0,0,0,2,24.5,24.5,44.5,143.5
C2M950,太和,嘉義縣,梅山鄉,23.538372,120.702961,1367,2025/7/29 00:00,0,0,0,0,11.5,25.5,25.5,41.5,100.5
C2M940,日野賀,嘉義縣,阿里山鄉,23.434056,120.727169,1112,2025/7/29 00:00,0,0,0,0,26.5,55,55,79.5,149
C2M930,石卓,嘉義縣,竹崎鄉,23.478744,120.702264,1548,2025/7/29 00:00,0,0,0,0.5,26,52.5,52.5,76.5,149
C2H9G0,百勝,南投縣,國姓鄉,24.051142,120.909361,502,2025/7/29 00:00,0,0,0,0,0.5,56,56,73,140
C2H9F0,柑林,南投縣,國姓鄉,24.018658,120.847072,281,2025/7/29 00:00,0,0,0,0.5,1,57.5,57.5,69.5,150
C2H9E0,國姓南港,南投縣,國姓鄉,23.911108,120.846556,1166,2025/7/29 00:00,0,0,0,0,0.5,55,55,72,173.5
C2H9D0,三隻寮,南投縣,國姓鄉,24.093078,120.861578,741,2025/7/29 00:00,0,0,0,2.5,2.5,44.5,44.5,56.5,106
C2FB60,頭櫃山,臺中市,新社區,24.129842,120.858925,1117,2025/7/29 00:00,0,0,0,2.5,9.5,63.5,63.5,79.5,124
C2FB50,出雲,臺中市,和平區,24.206469,120.902794,1070,2025/7/29 00:00,0,0,0,0,9.5,37,37,47.5,91.5
C2K620,馬光農場,雲林縣,虎尾鎮,23.721453,120.378864,24,2025/7/29 00:00,0,0,0,0,24,96,96,102.5,149
C2H9W0,大坪頂農水,南投縣,埔里鎮,24.043122,120.932781,724,2025/7/29 00:00,0,0,0,0,0.5,56.5,56.5,67.5,129.5
C2M920,朴子農改,嘉義縣,朴子市,23.469889,120.259383,7,2025/7/29 00:00,0,0,0,0,30.5,434.5,434.5,445,486
C2F990,摩天嶺,臺中市,和平區,24.322458,120.936819,1018,2025/7/29 00:00,0,0,0,0.5,1,29,29,36,89
C2K610,草嶺石壁,雲林縣,古坑鄉,23.602469,120.707731,1143,2025/7/29 00:00,0,0,0,0,9.5,33,33,45.5,120.5
C2G980,田頭村,彰化縣,埤頭鄉,23.8263,120.444175,27,2025/7/29 00:00,0,0,0,0,18.5,72.5,72.5,85,105
C2D740,屯原,南投縣,仁愛鄉,24.067969,121.209389,2047,2025/7/29 00:00,0,0,0.5,20,64.5,91,91,97.5,128.5
C2D730,寶山農場,新竹縣,寶山鄉,24.732444,120.976153,78,2025/7/29 00:00,0,0,0.5,51,74,79,79,133,133.5
C2D720,關西工作站,新竹縣,關西鎮,24.757275,121.184792,164,2025/7/29 00:00,0,0,0.5,5.5,15,16.5,16.5,31.5,38
C2M910,嘉義大學,嘉義市,東區,23.471325,120.485903,68,2025/7/29 00:00,0,0,0,0,67,182.5,182.5,190,298.5
81S570,月眉國小,臺東縣,關山鎮,23.010004,121.148008,200,2025/7/29 00:00,0,0,0,2.5,3.5,10,10,11,11
81HB40,東埔吊橋,南投縣,信義鄉,23.561737,120.922408,1100,2025/7/29 00:00,0,0,0,0,0,16,16,16.5,31.5
467290,古坑,雲林縣,古坑鄉,23.633639,120.55188,90,2025/7/29 00:00,0,0,0,0,4.5,42.5,42.5,66.5,178
CAUB50,國五S047K,宜蘭縣,羅東鎮,24.675456,121.79458,38,2025/7/29 00:00,0,0,0,0,0,0.5,0.5,1,1
